name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
Прикладные структуры данных и алгоритмы. Прокачиваем навыки (+epub),Джей Венгроу,https://www.litres.ru/book/dzhey-vengrou/prikladnye-struktury-dannyh-i-algoritmy-prokachivaem-navyki-69932068/,5.0,3,0,512,699.0,[],16,2020
Spring быстро (pdf + epub),Лауренциу Спилкэ,https://www.litres.ru/book/laurenciu-spilke/spring-bystro-pdf-epub-68332484/,4.33,3,0,448,699.0,[],16,2021
Основы Dart (pdf+epub),Станислав Андреевич Чернышев,https://www.litres.ru/book/stanislav-chernyshev/osnovy-dart-pdf-epub-70870241/,5.0,1,0,20,699.0,[],16,2024
"Python, Django и Bootstrap для начинающих",Анатолий Постолит,https://www.litres.ru/book/anatoliy-postolit/python-django-i-bootstrap-dlya-nachinauschih-70920859/,0.0,0,0,623,549.0,[],0,2023
Rust в действии,Тим Макнамара,https://www.litres.ru/book/tim-maknamara/rust-v-deystvii-69842617/,5.0,3,0,521,549.0,[],0,2021
Встраиваемые системы на основе Linux,Крис Симмондс,https://www.litres.ru/book/kris-simmonds/vstraivaemye-sistemy-na-osnove-linux-27071892/,4.1,21,0,362,639.0,[],0,2015
"40 алгоритмов, которые должен знать каждый программист на Python (pdf + epub)",Имран Ахмад,https://www.litres.ru/book/imran-ahmad-32550217/40-algoritmov-kotorye-dolzhen-znat-kazhdyy-programmis-69166264/,5.0,1,0,368,699.0,[],16,2020
Объектно-ориентированный Python (+ epub),Стивен Ф. Лотт,https://www.litres.ru/book/dasti-fillips/obektno-orientirovannyy-python-epub-70504741/,0.0,0,0,704,699.0,[],16,2021
FastAPI. Веб-разработка на Python (pdf+epub),Билл Любанович,https://www.litres.ru/book/b-lubanovich/fastapi-veb-razrabotka-na-python-pdf-epub-70870316/,3.0,2,0,25,699.0,[],16,2024
Сборник задач для подготовки к экзамену «1С:Специалист» по платформе «1С:Предприятие 8.3» (+ epub),Фирма «1С»,https://www.litres.ru/book/firma-1s-24817412/sbornik-zadach-dlya-podgotovki-k-ekzamenu-1s-specialist-68054173/,4.0,7,0,221,549.0,[],0,2022
Нейросети. Обработка естественного языка,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/neyroseti-obrabotka-estestvennogo-yazyka-69735148/,4.91,378,0,348669,690.0,[],12,2023
PHP и MYSQL. Серверная веб-разработка,Джон Дакетт,https://www.litres.ru/book/dzhon-dakett/php-i-mysql-servernaya-veb-razrabotka-69530218/,4.33,9,0,690,679.0,[],12,2022
Программирование на Java для начинающих,Алексей Васильев,https://www.litres.ru/book/aleksey-nikolaevich-vasilev/programmirovanie-na-java-dlya-nachinauschih-48793435/,4.41,32,0,706,549.0,[],16,2017
Игры: дизайн и игровой опыт. Все об итеративной разработке игр,Коллин Маклин,https://www.litres.ru/book/dzhon-sharp-32913136/igry-dizayn-i-igrovoy-opyt-vse-ob-iterativnoy-razrabo-70291573/,5.0,5,0,310,549.0,[],12,2016
Алгоритмический тренинг. Решения практических задач на Python и С++,Максим Иванов,https://www.litres.ru/book/maksim-ivanov-327709/algoritmicheskiy-trening-resheniya-prakticheskih-zada-69845677/,5.0,1,0,415,549.0,[],0,2023
Head First. Паттерны проектирования,Эрик Фримен,https://www.litres.ru/book/elizabet-robson/head-first-patterny-proektirovaniya-39123671/,3.89,36,0,638,599.0,[],16,2020
Информатика. 9 класс. Базовый уровень,Л. Л. Босова,https://www.litres.ru/book/anna-bosova/informatika-9-klass-68294054/,5.0,1,0,275,535.0,[],0,2023
Расширения конфигураций. Адаптация прикладных решений с сохранением поддержки в облаках и на земле. Разработка в системе «1С:Предприятие 8.3» (+ 2epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/rasshireniya-konfiguraciy-adaptaciya-prikladnyh-resheniy-s-40911721/,4.54,13,0,297,350.0,[],12,2013
"Golang для профи. Создаем профессиональные утилиты, параллельные серверы и сервисы (+epub)",Михалис Цукалос,https://www.litres.ru/book/mihalis-cukalos-2771/golang-dlya-profi-sozdaem-professionalnye-utility-par-69932944/,5.0,3,0,624,699.0,[],16,2021
"Безопасность веб-приложений. Разведка, защита, нападение",Эндрю Хоффман,https://www.litres.ru/book/hoffman-e/bezopasnost-veb-prilozheniy-razvedka-zaschita-napadenie-66414406/,4.62,8,0,336,699.0,[],16,2020
Библия C#,Михаил Фленов,https://www.litres.ru/book/mihail-flenov/bibliya-c-4575419/,4.09,44,0,463,349.0,[],12,2022
Алгоритмы с нуля (pdf+epub),Коллектив авторов,https://www.litres.ru/book/raznoe-4340152/algoritmy-s-nulya-pdf-epub-70870256/,0.0,0,0,256,699.0,[],16,2023
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Владстон Феррейра Фило,https://www.litres.ru/book/vladston-ferreyra-fi/teoreticheskiy-minimum-po-computer-science-vse-chto-n-34946144/,3.9,94,0,224,599.0,[],16,2017
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript (pdf+epub)",Кайл Симпсон,https://www.litres.ru/book/kayl-simpson/vy-poka-esche-ne-znaete-js-poznakomtes-javascript-pdf-epub-66658092/,4.5,8,0,190,599.0,[],16,
Грокаем Continuous Delivery,Кристи Уилсон,https://www.litres.ru/book/kristi-uilson/grokaem-continuous-delivery-70504576/,2.0,1,0,400,699.0,[],16,2022
